,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,punta arenas,88,100,-53.00836972862856,-75.98023863228357,41.38,9.31
1,ushuaia,64,100,-59.989673195191365,-57.885656951612745,31.12,27.2
2,mataura,12,100,-34.258746447444885,-147.48995328545465,64.87,24.4
3,coquimbo,0,100,-27.55506838995764,-78.93249126567834,64.15,10.31
4,bredasdorp,92,96,-59.80658964118447,20.11378363984312,32.02,38.65
5,torbay,68,100,36.57530318604144,-44.994048204999956,71.44,16.96
6,bengkulu,64,100,-6.183029928580979,96.21883013168781,83.86,17.81
7,albany,0,0,-82.0245852212555,105.94004006591967,-68.06,17.81
8,rikitea,36,98,-68.69229812192948,-131.48506866961188,12.22,5.32
9,busselton,68,100,-48.211021917886356,92.28444616555396,44.08,32.28
10,hovd,0,28,45.373025931554565,99.8951854840983,57.22,17.13
11,jejuri,8,92,18.107767847045224,74.16194845659157,70.9,3.09
12,lebu,100,100,-34.41654146405364,-80.4812010856898,59.56,15.28
13,castro,36,95,-54.53669817415753,-101.85656221233714,42.64,31.5
14,provideniya,80,97,66.67285080002134,-175.13205862376884,35.89,3.98
15,samarai,8,100,-11.185793795746832,151.57897789114713,81.07,17.92
16,norman wells,92,99,63.31668391514643,-128.5942192254412,33.64,1.7
17,kapaa,56,100,15.250175230556508,-166.1910793507773,80.08,15.84
18,barrow,36,100,79.59571574285832,-166.91746833855663,24.01,12.93
19,riacho de santana,68,82,-13.440991343262453,-42.80655643750825,67.84,9.57
20,chokurdakh,12,100,77.76334507698024,147.76589561595495,23.02,15.79
21,tuktoyaktuk,88,100,84.66934000698839,-135.51608986632095,30.04,23.4
22,bethel,88,99,51.2735582886709,-159.74111355435653,43.27,14.67
23,taywarah,0,68,33.227107859229434,63.93503094455548,40.03,1.86
24,sosva,32,76,59.64648319377574,61.91205750475032,40.3,6.33
25,hithadhoo,100,100,-11.880181496600073,79.7052091453383,79.54,21.21
26,takoradi,0,100,-4.46793169888015,-1.565160746969184,78.55,11.92
27,deputatskiy,0,96,70.27353841774729,142.57290635813047,36.16,13.44
28,luderitz,56,100,-30.455389328225714,0.37518617863233317,66.85,23.67
29,himora,36,95,13.646161604964263,36.900580430429045,69.1,3.2
30,qasigiannguit,8,60,67.21137340474891,-45.919193723216466,7.45,10.8
31,nanortalik,92,100,51.45699347493385,-44.50696416814432,42.1,39.84
32,mercedes,24,75,-29.067826232426135,-58.30606456855314,70.81,12.26
33,aswan,12,17,23.607150868819573,29.773884786229274,89.35,15.35
34,gamboma,32,89,-2.250235581257513,15.521584944897597,72.25,3.76
35,contamana,8,86,-6.776951345962374,-75.06600064313803,78.46,3.09
36,sidi bu zayd,64,77,34.80038507496698,9.350255335444018,64.6,2.82
37,victor harbor,92,97,-38.698912081425426,136.34714012381676,58.57,22.1
38,thompson,64,89,60.11836640310173,-92.74825254396748,33.01,24.96
39,yining,0,29,44.08820663670667,82.60918121307162,50.2,4.32
40,mys shmidta,76,100,71.21992277863288,-175.81407645212775,26.08,16.28
41,ribeira grande,92,100,27.153562433035745,-40.977093717509575,71.17,10.54
42,guerrero negro,12,100,12.856167439872223,-131.62574573023196,80.89,17.4
43,westport,44,88,55.0053553601189,-11.029817000477635,57.58,7.0
44,puerto ayora,0,100,-18.591543214302632,-105.22839994795524,70.63,6.89
45,avarua,92,100,-25.087886965059198,-159.53724676231514,72.07,0.96
46,ilulissat,64,83,82.43444000468722,-43.68901793485844,14.47,3.6
47,jamestown,48,100,-19.673523103963092,-12.030115353396923,72.16,18.37
48,muros,56,99,44.065142387420906,-15.714557411071581,58.3,15.46
49,cururupu,88,100,5.10037934682741,-41.1181529689305,79.0,14.61
50,victoria,64,100,-2.36009974737199,51.88078137170592,78.82,7.9
51,havre-saint-pierre,24,85,53.743211808767796,-63.62232155804769,23.02,4.99
52,lorengau,48,100,9.486297121638344,146.23779367521132,83.32,18.03
53,isangel,92,100,-21.8089644404251,177.53261090781382,70.27,19.3
54,atuona,32,100,1.6557899228990607,-152.53045650841685,80.8,12.44
55,mar del plata,92,97,-57.76324985284249,-37.64205127111114,33.1,25.41
56,colares,92,100,38.50141591721072,-11.901653687968093,59.92,17.47
57,yerbogachen,0,58,64.73593085252378,106.70193409962894,32.02,9.53
58,bluff,40,42,-77.36073611094326,168.2657927858558,-11.21,5.82
59,zharkovskiy,0,45,56.11882645725879,32.30960799354793,54.7,11.92
60,fairbanks,75,33,64.52592918892222,-147.14264960711475,63.61,8.05
61,lagoa,32,96,49.0375980347259,-27.996931575413242,55.96,24.56
62,gabu,0,45,12.487378444970275,-14.336662488067077,82.33,13.27
63,doha,0,29,29.326678024475342,47.07311993156742,77.47,4.21
64,sawtell,12,100,-31.425483846283157,158.19690221468983,67.3,15.17
65,kamenskoye,88,98,63.45232712623911,170.4571590155051,38.5,4.32
66,ahipara,80,100,-32.80866322632522,167.80073816455575,63.07,20.2
67,bundaberg,20,100,-21.80121344331991,154.36124070112368,74.32,25.12
68,kodiak,24,100,49.093161920251475,-156.3786623631097,44.44,17.18
69,merauke,92,73,-7.5096806390562705,140.2331901235458,81.61,7.23
70,shubarshi,0,67,48.04511386339638,56.335570371729176,39.58,3.98
71,illoqqortoormiut,0,79,73.42798887784562,-21.074458615762495,23.65,7.63
72,goderich,64,100,7.552909996987054,-16.947133978090932,79.27,2.3
73,palabuhanratu,68,98,-7.382646549810488,106.72266056014632,72.88,4.99
74,dikson,88,100,84.91260668795255,83.62532381346466,30.22,1.3
75,banjar,88,100,-10.366489115880384,107.01908756120821,82.42,20.2
76,vila franca do campo,92,95,43.79180306508863,-21.37533931861836,59.56,13.6
77,komsomolskiy,32,100,81.90087296755752,175.0012183972242,22.75,13.15
78,hermanus,0,0,-82.01680342347234,-9.785683430112499,-57.62,19.08
79,katsuura,32,100,19.89448471839897,148.20002261127195,82.6,10.76
80,cape town,92,98,-52.561992846392016,-7.0059203945440345,34.99,23.17
81,tuxpan,0,100,21.656444452986904,-106.28577950231822,82.33,11.1
82,ponta do sol,0,100,26.325936851557728,-32.99398695421718,69.01,10.76
83,grand river south east,92,100,-20.15290918946964,63.71907512452222,77.83,14.83
84,dukat,44,66,62.39777475487321,154.14937276465287,43.54,5.06
85,georgetown,92,100,-13.322409130150362,-17.722093386408716,76.3,16.84
86,hilo,100,100,7.686988621938127,-154.67590836234757,81.52,20.38
87,mayya,0,48,60.635222748507545,130.75245697834737,69.82,7.11
88,jaramana,36,61,33.118035756673365,36.73192314968111,64.15,2.75
89,port elizabeth,36,100,-68.67581166706034,31.572925340396154,-6.41,2.3
90,phalaborwa,0,89,-23.765443549289813,31.67999734382863,61.27,2.26
91,vaini,48,62,-83.07508396029833,-170.15990261846792,-21.26,4.76
92,batang berjuntai,75,100,3.3369921454044515,101.35924265396909,77.0,0.51
93,samusu,12,98,-1.7362413695450272,-161.10461988134008,82.87,15.28
94,butaritari,68,100,19.74618777931248,157.29782359663847,79.99,13.33
95,nizhneyansk,56,100,76.31974587321506,137.45006023140127,28.69,21.39
96,praia,88,100,5.384722470472624,-23.392860244750324,79.54,4.38
97,sao paulo de olivenca,92,92,-3.940271942075725,-69.28816579690194,75.76,2.53
98,hasaki,48,100,34.87656299318303,142.77520427351226,69.64,6.85
99,catabola,0,72,-11.391519127341624,16.549246334842678,50.29,4.21
100,bambous virieux,64,98,-36.717385338218165,83.36287236308743,61.54,23.73
101,kem,8,59,65.47133727354131,33.85430653706828,44.17,1.86
102,lata,44,100,-8.851339958619022,166.70338961848137,82.15,4.21
103,shingu,0,99,23.10828383903892,140.61482456705727,82.78,11.54
104,ercis,12,97,39.28311086703002,43.48736870440004,48.58,4.38
105,salinopolis,48,100,2.9228776051418777,-46.07443568979028,81.07,12.37
106,roma,48,70,-25.845636016619295,145.4831356902028,66.67,10.87
107,port alfred,12,100,-62.538910807307346,39.14203859446013,24.1,23.06
108,faya,0,26,22.21810998558513,23.119211711638116,76.84,14.12
109,bay city,1,62,28.523939592024888,-96.03893566356545,85.55,6.93
110,qaanaaq,36,97,87.74708029508795,-80.60376652695845,17.8,9.75
111,new norfolk,92,93,-45.58936876148303,142.4624229793805,55.6,28.43
